label,face_index,sticker_index,sample_index,r,g,b,h_cos,h_sin,s,v
U,2,7,9,0.8600000000000001,0.9394313725490196,0.43164705882352944,0.3520761902356093,0.9359713437222205,0.5405230531610695,0.9394313725490196
U,2,8,0,0.8817407407407408,0.9291339869281046,0.4761154684095861,0.40231540188593096,0.9155011291120082,0.48757071088991666,0.9291339869281046
U,2,8,1,0.8743235294117647,0.9481960784313725,0.42686274509803923,0.36646946706295325,0.9304300778191744,0.5498159559948715,0.9481960784313725
U,2,8,2,0.8759607843137255,0.945921568627451,0.438,0.37032462738789274,0.9289024008742891,0.5369594958749637,0.945921568627451
U,2,8,3,0.8812941176470589,0.9426666666666667,0.44973529411764707,0.3831620335838501,0.9236811441292329,0.5229116399034861,0.9426666666666667
U,2,8,4,0.8898431372549019,0.9025588235294117,0.4944117647058824,0.4714847775780637,0.881874199935662,0.4522110339883338,0.9025588235294117
U,2,8,5,0.892078431372549,0.9027745098039216,0.5087843137254903,0.4751806846350976,0.879888241170275,0.4364214893085585,0.9027745098039216
U,2,8,6,0.8957058823529411,0.9021764705882354,0.5318235294117647,0.48407238368728384,0.8750279580398052,0.41051053009063054,0.9021764705882354
U,2,8,7,0.8737549019607843,0.9401470588235294,0.4653333333333333,0.3682922145464043,0.9297100863734379,0.5050419729912926,0.9401470588235294
U,2,8,8,0.8756176470588235,0.9400196078431373,0.4767941176470588,0.36906939891863594,0.9294018392395383,0.4927827955194928,0.9400196078431373
U,2,8,9,0.8770882352941176,0.9377450980392157,0.4932941176470588,0.3715532788825463,0.9284116333564701,0.4739571353894407,0.9377450980392157
B,3,0,0,0.16884749455337691,0.4886655773420479,0.8909389978213507,-0.8346009776237194,-0.5508549792363974,0.8104836639026167,0.8909389978213507
B,3,0,1,0.1722843137254902,0.4847843137254902,0.8788529411764706,-0.8342391905346677,-0.5514027321079054,0.803966846267974,0.8788529411764706
B,3,0,2,0.15785294117647058,0.47950980392156867,0.8828039215686275,-0.8350560818893152,-0.5501648299370518,0.8211913910667882,0.8828039215686275
B,3,0,3,0.15641176470588233,0.47942156862745094,0.8858039215686274,-0.8345679365075132,-0.5509050366021275,0.8234239419160616,0.8858039215686274
B,3,0,4,0.16087254901960785,0.48525490196078436,0.8887843137254903,-0.8361717820826912,-0.548467638834468,0.8189970878926932,0.8887843137254903
B,3,0,5,0.16005882352941175,0.4840980392156863,0.8919019607843137,-0.8345237895950703,-0.5509719090841952,0.8205421329170971,0.8919019607843137
B,3,0,6,0.173421568627451,0.49261764705882355,0.8937156862745098,-0.8347403540774281,-0.5506437516895021,0.805954431268443,0.8937156862745098
B,3,0,7,0.16865686274509803,0.48950000000000005,0.8960882352941176,-0.8335368026304076,-0.5524639342623886,0.8117854290434459,0.8960882352941176
B,3,0,8,0.18194117647058825,0.5007450980392156,0.9020980392156862,-0.8344749575767233,-0.551045864858204,0.7983133001499771,0.9020980392156862
B,3,0,9,0.18812745098039216,0.5020588235294118,0.8984019607843138,-0.8340703321937212,-0.5516581196304968,0.7905976843414778,0.8984019607843138
B,3,1,0,0.1854934640522876,0.5029640522875817,0.891723311546841,-0.8384016647885815,-0.5450528859475336,0.7919831615363754,0.891723311546841
B,3,1,1,0.1756470588235294,0.49226470588235294,0.8836274509803922,-0.8370771337603088,-0.5470848856764606,0.801220459336514,0.8836274509803922
B,3,1,2,0.184,0.49688235294117644,0.8908431372549019,-0.8344522954340463,-0.5510801816839824,0.7934540972420928,0.8908431372549019
B,3,1,3,0.18865686274509805,0.500421568627451,0.8928529411764706,-0.8344966006742361,-0.5510130882866072,0.7887033193881696,0.8928529411764706
B,3,1,4,0.1811470588235294,0.4977843137254902,0.890421568627451,-0.8366252134173474,-0.547775731731863,0.7965603426444843,0.890421568627451
B,3,1,5,0.18488235294117647,0.5045098039215686,0.8947450980392156,-0.8388225620643199,-0.5444049130673327,0.7933686886395511,0.8947450980392156
